name,type,id,uri,part_of_name,part_of_type,part_of_id
Uppsala,city,86266,https://ismi.mpiwg-berlin.mpg.de/place/86266,Sweden,country,178937
USA,country,173554,https://ismi.mpiwg-berlin.mpg.de/place/173554,null,null,null
Uskudar,city_district,447130,https://ismi.mpiwg-berlin.mpg.de/place/447130,Istanbul,city,85148
Uzbekistan,country,173272,https://ismi.mpiwg-berlin.mpg.de/place/173272,null,null,null
Valencia,city,142599,https://ismi.mpiwg-berlin.mpg.de/place/142599,Spain,country,174730
Vatican City,city,38383,https://ismi.mpiwg-berlin.mpg.de/place/38383,Vatican City State,country,43921
Vatican City State,country,43921,https://ismi.mpiwg-berlin.mpg.de/place/43921,null,null,null
Yedikule,city_district,501761,https://ismi.mpiwg-berlin.mpg.de/place/501761,Istanbul,city,85148
Yemen,country,178900,https://ismi.mpiwg-berlin.mpg.de/place/178900,null,null,null
Yerevan,city,87640,https://ismi.mpiwg-berlin.mpg.de/place/87640,Armenia,country,173852
Yozgat,city,87882,https://ismi.mpiwg-berlin.mpg.de/place/87882,Turkey,country,174510
Zabid,city,87199,https://ismi.mpiwg-berlin.mpg.de/place/87199,null,null,null
Zabid,city,483787,https://ismi.mpiwg-berlin.mpg.de/place/483787,Yemen,country,178900
Ẓāhiriyya Juwāniyya madrasa,madrasa,498785,https://ismi.mpiwg-berlin.mpg.de/place/498785,Damascus,city,85658
Zahra (suburb of Cordova),city,108247,https://ismi.mpiwg-berlin.mpg.de/place/108247,Spain,country,174730
Zanjān,city_district,458112,https://ismi.mpiwg-berlin.mpg.de/place/458112,Iran,country,174469
Zaragoza,city,142614,https://ismi.mpiwg-berlin.mpg.de/place/142614,Spain,country,174730
Vienna,city,87037,https://ismi.mpiwg-berlin.mpg.de/place/87037,Austria,country,173483
Wādyāš,null,436967,https://ismi.mpiwg-berlin.mpg.de/place/436967,Spain,country,174730
Wann (Khuzistan),city,142516,https://ismi.mpiwg-berlin.mpg.de/place/142516,Iran,country,174469
Washington D.C.,city,87833,https://ismi.mpiwg-berlin.mpg.de/place/87833,USA,country,173554
Wāsiṭ,city,458696,https://ismi.mpiwg-berlin.mpg.de/place/458696,Iraq,country,173298
Wāsiṭa (south of Cordoba),city,141626,https://ismi.mpiwg-berlin.mpg.de/place/141626,Spain,country,174730
Wrocław,city,164884,https://ismi.mpiwg-berlin.mpg.de/place/164884,null,null,null
Yamgan (or Yomgan; in NE Afghanistan),city,153749,https://ismi.mpiwg-berlin.mpg.de/place/153749,Afghanistan,country,179798
Yazd,city,87675,https://ismi.mpiwg-berlin.mpg.de/place/87675,Iran,country,174469
ʿAkkā,city_district,350573,https://ismi.mpiwg-berlin.mpg.de/place/350573,Palestine/Israel,country,179483
ʿAyn Zarba,city,431559,https://ismi.mpiwg-berlin.mpg.de/place/431559,null,null,null
